Division,District,Upazila,Market Name,Commodity Name,Year,Retail Unit,Retail Price,Average Price,Whole Sale Unit,Wholesale price,Average Price
Chattagram,Coxsbazar,Chakaria,Chakaria Bazar,Broiler chicken,2026,Kilogram,176--181.5,178.75,Quintal,"16,950--17,650","17,300"
Chattagram,Coxsbazar,Chakaria,Chakaria Bazar,Sonali Chicken,2026,Kilogram,275.5--285,280.25,Quintal,"25,650--26,600","26,125"
Chattagram,Khagrachhari,Khagrachhari Sadar,Khagrachari Sadar Pouro Bazar,Local Hen - Big (above 900 gm),2025,Kilogram,519.12--528.86,523.99,Quintal,"50,676.47--51,650.74","51,163.60"
Chattagram,Khagrachhari,Khagrachhari Sadar,Khagrachari Sadar Pouro Bazar,Broiler chicken,2025,Kilogram,170.44--180.44,175.44,Quintal,"16,044.12--17,044.12","16,544.12"
Chattagram,Khagrachhari,Khagrachhari Sadar,Khagrachari Sadar Pouro Bazar,Sonali Chicken,2025,Kilogram,295.51--305.51,300.51,Quintal,"28,551.47--29,551.47","29,051.47"
Chattagram,Khagrachhari,Khagrachhari Sadar,Khagrachari Sadar Pouro Bazar,Local Hen - Big (above 900 gm),2026,Kilogram,591.71--620.07,605.89,Quintal,"57,250--60,085.62","58,667.81"
Chattagram,Khagrachhari,Khagrachhari Sadar,Khagrachari Sadar Pouro Bazar,Broiler chicken,2026,Kilogram,176.92--184.59,180.75,Quintal,"16,691.78--17,458.9","17,075.34"
Chattagram,Khagrachhari,Khagrachhari Sadar,Khagrachari Sadar Pouro Bazar,Sonali Chicken,2026,Kilogram,322.53--332.53,327.53,Quintal,"30,794.52--31,794.52","31,294.52"
Chattagram,Khagrachhari,Matiranga,Matiranga Bazar,Broiler chicken,2026,Kilogram,195--200,197.5,Quintal,"17,500--18,000","17,750"
Chattagram,Khagrachhari,Matiranga,Matiranga Bazar,Sonali Chicken,2026,Kilogram,310--320,315,Quintal,"29,000--30,000","29,500"
Chattagram,Bandarban,Bandarban Sadar,Bandarban Sadar Bazar,Local Hen - Medium (700-850 gm),2025,Kilogram,543.97--557.06,550.51,Quintal,"51,220.59--52,889.71","52,055.15"
Chattagram,Bandarban,Bandarban Sadar,Bandarban Sadar Bazar,Broiler chicken,2025,Kilogram,158.71--165.51,162.11,Quintal,"14,823.53--15,485.29","15,154.41"
Chattagram,Bandarban,Bandarban Sadar,Bandarban Sadar Bazar,Sonali Chicken,2025,Kilogram,267.02--277.5,272.26,Quintal,"23,897.06--24,871.32","24,384.19"
Chattagram,Bandarban,Bandarban Sadar,Bandarban Sadar Bazar,Local Hen - Medium (700-850 gm),2026,Kilogram,594.83--630.26,612.55,Quintal,"55,682.12--58,516.56","57,099.34"
Chattagram,Bandarban,Bandarban Sadar,Bandarban Sadar Bazar,Broiler chicken,2026,Kilogram,390--181.89,285.94,Quintal,"15,866.23--16,662.91","16,264.57"
Chattagram,Bandarban,Bandarban Sadar,Bandarban Sadar Bazar,Sonali Chicken,2026,Kilogram,312.38--324.97,318.68,Quintal,"29,324.5--30,549.67","29,937.09"
Chattagram,Bandarban,Lama,Lama Bazar,Local Hen - Big (above 900 gm),2026,Kilogram,553.44--573.28,563.36,Quintal,"52,106.56--53,098.36","52,602.46"
Chattagram,Bandarban,Lama,Lama Bazar,Broiler chicken,2026,Kilogram,172.46--177.46,174.96,Quintal,"15,400--15,803.28","15,601.64"
Chattagram,Bandarban,Lama,Lama Bazar,Sonali Chicken,2026,Kilogram,348.85--359.02,353.93,Quintal,"31,901.64--32,934.43","32,418.03"
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar Bazar,Local Hen - Big (above 900 gm),2025,Kilogram,528.89--545.56,537.22,Quintal,"51,111.11--52,555.56","51,833.33"
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar Bazar,Local Hen - Medium (700-850 gm),2025,Kilogram,528.89--545.56,537.22,Quintal,"51,111.11--52,555.56","51,833.33"
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar Bazar,Local Hen - Small (500-650 gm),2025,Kilogram,528.89--545.56,537.22,Quintal,"51,111.11--52,555.56","51,833.33"
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar Bazar,Broiler chicken,2025,Kilogram,157.78--167.22,162.5,Quintal,"14,222.22--15,222.22","14,722.22"
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar Bazar,Sonali Chicken,2025,Kilogram,255.56--265.56,260.56,Quintal,"23,777.78--24,777.78","24,277.78"
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar Bazar,Local Hen - Big (above 900 gm),2026,Kilogram,525--543.33,534.17,Quintal,"50,500--52,333.33","51,416.67"
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar Bazar,Local Hen - Medium (700-850 gm),2026,Kilogram,525--543.33,534.17,Quintal,"50,500--52,333.33","51,416.67"
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar Bazar,Local Hen - Small (500-650 gm),2026,Kilogram,525--543.33,534.17,Quintal,"50,500--52,333.33","51,416.67"
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar Bazar,Broiler chicken,2026,Kilogram,155.83--164.17,160,Quintal,"13,916.67--14,750","14,333.33"
Rajshahi,Sirajganj,Sirajganj Sadar,Sirajganj Sadar Bazar,Sonali Chicken,2026,Kilogram,250--260,255,Quintal,"24,000--25,000","24,500"
Rajshahi,Pabna,Pabna Sadar,"Sadar Bazar, Pabna",Farm-raised Hen,2025,Kilogram,161.78--166.72,164.25,Quintal,"14,905.8--15,402.9","15,154.35"
Rajshahi,Pabna,Pabna Sadar,"Sadar Bazar, Pabna",Farm-raised Hen,2026,Kilogram,303.95--182.87,243.41,Quintal,"16,267.52--16,753.5","16,510.51"
Rajshahi,Bogura,Bogra Sadar,Bogra Sadar Bazar,Local Hen - Big (above 900 gm),2025,Kilogram,545.29--562.35,553.82,Quintal,"49,411.76--51,117.65","50,264.71"
