Division,District,Upazila,Market Name,Commodity Name,Year,Retail Unit,Retail Price,Average Price,Whole Sale Unit,Wholesale price,Average Price
Chattagram,Rangamati,Kaptai,Kaptai Bazar,Shrimp-small,2026,Kilogram,546.07--646.07,596.07,Quintal,"44,606.74--54,606.74","49,606.74"
Chattagram,Rangamati,Kaptai,Kaptai Bazar,Silver Carp,2026,Kilogram,200--226.63,213.31,Quintal,"17,662.92--19,325.84","18,494.38"
Chattagram,Rangamati,Kaptai,Kaptai Bazar,Grass carp,2026,Kilogram,213.26--233.26,223.26,Quintal,"17,662.92--19,325.84","18,494.38"
Chattagram,Rangamati,Kaptai,Kaptai Bazar,Telapia/Nilotica,2026,Kilogram,"997.98--1,118.88","1,058.43",Quintal,"17,112.36--19,359.55","18,235.96"
Chattagram,Rangamati,Kawkhali,Kaukhali Bazar,Telapia/Nilotica,2026,Kilogram,211.42--245.67,228.54,Quintal,"19,141.67--21,283.33","20,212.50"
Chattagram,Rangamati,Kawkhali,Kaukhali Bazar,Pangash (small),2026,Kilogram,160--170,165,Quintal,"15,000--16,000","15,500"
Chattagram,Rangamati,Kawkhali,Kaukhali Bazar,Pangash (big),2026,Kilogram,200--220,210,Quintal,"18,000--19,000","18,500"
Chattagram,Noakhali,Noakhali Sadar,Noakhali Sadar Bazar,Ruhi (Imported) medium (2.50-4.50 kg),2025,Kilogram,340.77--384.62,362.69,Quintal,"30,769.23--34,076.92","32,423.08"
Chattagram,Noakhali,Noakhali Sadar,Noakhali Sadar Bazar,Pangash (small),2025,Kilogram,195.73--215.73,205.73,Quintal,"17,572.65--19,572.65","18,572.65"
Chattagram,Noakhali,Noakhali Sadar,Noakhali Sadar Bazar,Ruhi (Imported) medium (2.50-4.50 kg),2026,Kilogram,409.93--454.67,432.3,Quintal,"37,325.93--40,866.67","39,096.30"
Chattagram,Noakhali,Noakhali Sadar,Noakhali Sadar Bazar,Pangash (small),2026,Kilogram,180--200,190,Quintal,"16,000--18,000","17,000"
Chattagram,Noakhali,Noakhali Sadar,Noakhali Sadar Bazar,Katla-Medium (2.50-4.50 kg),2026,Kilogram,386.53--445.45,415.99,Quintal,"34,115.7--37,851.24","35,983.47"
Chattagram,Noakhali,Noakhali Sadar,Noakhali Sadar Bazar,Telapia/Nilotica,2026,Kilogram,198.26--218.26,208.26,Quintal,"17,826.45--18,834.71","18,330.58"
Chattagram,Noakhali,Noakhali Sadar,Noakhali Sadar Bazar,Katla-Small (1.50-2.00 kg),2026,Kilogram,228.51--277.02,252.77,Quintal,"19,818.18--23,636.36","21,727.27"
Chattagram,Noakhali,Begumganj,Begumganj Bazar,Ruhi (Imported) medium (2.50-4.50 kg),2026,Kilogram,383.9--408.17,396.04,Quintal,"36,292.68--39,365.85","37,829.27"
Chattagram,Noakhali,Begumganj,Begumganj Bazar,Katla-Medium (2.50-4.50 kg),2026,Kilogram,368.29--397.93,383.11,Quintal,"32,329.27--33,658.54","32,993.90"
Chattagram,Noakhali,Begumganj,Begumganj Bazar,Katla-Small (1.50-2.00 kg),2026,Kilogram,260.73--290,275.37,Quintal,"20,000--24,000","22,000"
Chattagram,Noakhali,Begumganj,Begumganj Bazar,Pangash (small),2026,Kilogram,175.61--195.37,185.49,Quintal,"15,207.32--16,414.63","15,810.98"
Chattagram,Noakhali,Begumganj,Begumganj Bazar,Telapia/Nilotica,2026,Kilogram,192.2--210.85,201.52,Quintal,"16,207.32--16,810.98","16,509.15"
Chattagram,Chandpur,Chandpur Sadar,Chandpur Sadaar,Ruhi (Local) - small (1.50-2.00 kg),2025,Kilogram,320--350,335,Quintal,"26,300--28,500","27,400"
Chattagram,Chandpur,Chandpur Sadar,Chandpur Sadaar,Katla-Small (1.50-2.00 kg),2025,Kilogram,300--350,325,Quintal,"25,500--27,500","26,500"
Chattagram,Chandpur,Chandpur Sadar,Chandpur Sadaar,Pangash (big),2025,Kilogram,180.07--190.07,185.07,Quintal,"16,003.68--16,503.68","16,253.68"
Chattagram,Chandpur,Chandpur Sadar,Chandpur Sadaar,Hilsha (500-900) gm,2025,Kilogram,"1,262.6--2,360.16","1,811.38",Quintal,"106,178.86--214,471.54","160,325.20"
